,Country,Capital,Population,Area,2020,2021,2022,2023,2024,2025,2026,2027,Average Score
55,Guyana,Georgetown,748486,214970.0,5471,7612,13543,16377,16347,16820,17653,18529,238.6766587461159
4,Angola,Luanda,13068161,1246700.0,58254,74495,124862,133335,140706,150343,159450,167503,187.53905311223264
91,Mongolia,Ulan Bator,3086918,1565000.0,13313,15098,18102,21047,23679,26415,28848,31034,133.11049350259145
65,Iran,Tehran,76923300,1648000.0,938052,1426300,1739012,1782602,1856639,1938551,2025344,2120980,126.10473619799329
137,Turkmenistan,Ashgabat,4940916,488100.0,53187,63428,76591,84893,91864,100036,109020,119064,123.85921371763777
85,Libya,Tripoli,6461454,1759540.0,19210,32352,48773,45195,43618,42975,43003,42999,123.8365434669443
102,Nigeria,Abuja,154000000,923768.0,429423,441541,510588,580121,656692,744225,844414,958491,123.2043928713646
95,Maldives,Malé,395650,300.0,3736,5070,5502,6109,6641,7155,7703,8296,122.0556745182013
147,Uzbekistan,Tashkent,27865738,447400.0,59893,69202,73060,81809,93656,105252,117433,130800,118.38946120581704
99,Mozambique,Maputo,22061451,801590.0,14029,16104,18091,19519,21505,22958,26551,30554,117.79171715731698
48,Georgia,Tbilisi,4630000,69700.0,15846,18696,20889,23300,25584,28056,30695,33595,112.00933989650386
153,Yemen,Sanaa,23495361,527970.0,18840,22018,28134,29556,31233,33196,35491,38197,102.74416135881104
101,Niger,Niamey,15878271,1267000.0,13758,14959,15620,17303,19910,23268,25596,27762,101.78805058874836
149,Vietnam,Hanoi,89571130,329560.0,342941,366201,408947,462644,515607,571117,629625,690109,101.23257353305671
154,Zambia,Lusaka,13460305,752614.0,18111,20753,26665,27709,29865,31987,34014,36350,100.70675280216443
51,Guinea,Conakry,10324025,245857.0,15294,17611,20952,22945,24963,26733,28642,30676,100.57538904145416
123,Seychelles,Victoria,88340,455.0,1202,1464,1750,1804,1890,2014,2171,2360,96.33943427620633
29,China,Beijing,1330044000,9596960.0,14862564,17458036,19911593,21865482,23617427,25353048,27171935,29128858,95.98810810839906
11,Bangladesh,Dhaka,156118464,144000.0,323057,357099,396543,438436,481002,526838,576122,628412,94.5204716195594
64,Iraq,Baghdad,29671605,437072.0,169488,209507,297341,299409,301919,307272,316618,329582,94.45742471443405
120,Serbia,Belgrade,7344847,88361.0,53335,63068,65037,72587,80179,87710,95335,103257,93.60082497421955
145,Uganda,Kampala,33398682,236040.0,37444,42480,46377,50100,54325,59553,65875,71745,91.60613182352313
143,Tanzania,Dodoma,41892895,945087.0,64403,70281,77506,86152,94060,102328,111638,121557,88.74431315311398
98,Malaysia,Kuala Lumpur,28274729,329750.0,337280,372754,439373,481988,517719,556183,594442,633626,87.86349620493358
9,Azerbaijan,Baku,8303512,86600.0,42693,54622,73369,72912,73439,74776,77001,80080,87.57173307099525
109,Panama,Panama City,3410676,78200.0,53977,63605,70492,76549,82364,88211,94474,101182,87.45391555662597
129,Senegal,Dakar,12323252,196190.0,24534,27640,28435,32107,36453,39669,43096,45950,87.29110621993968
130,Somalia,Mogadishu,10112453,637657.0,6965,7390,8491,9185,9998,10900,11895,12954,85.98707824838479
59,Hungary,Budapest,9982000,93030.0,155808,184577,197813,219463,238317,256299,272800,288707,85.29664715547341
63,India,New Delhi,1173108018,3287590.0,2667686,3041985,3291398,3583166,3892364,4228706,4568649,4917467,84.33455061802626
42,Ethiopia,Addis Ababa,88013491,1127127.0,96611,99269,105325,116247,132314,144823,159950,175990,82.16352175218142
27,Chile,Santiago,16746491,756950.0,252501,316864,317594,351036,378967,405893,431401,457120,81.03690678452759
16,Benin,Porto-Novo,9056010,112620.0,15674,17455,18387,20029,21842,23869,26032,28306,80.59206328952405
118,Qatar,Doha,840926,11437.0,144411,179571,225716,228356,230717,238010,247175,256906,77.89919050487843
13,Bulgaria,Sofia,7148785,110910.0,69995,80327,89533,97798,104502,111547,117871,124403,77.73126651903708
22,Botswana,Gaborone,2029307,600370.0,14930,17804,18426,19821,21331,22866,24705,26525,77.662424648359
134,Togo,Lomé,6587239,56785.0,7586,8418,8699,9539,10452,11415,12437,13444,77.22119694173477
88,Montenegro,Podgorica,666730,14026.0,4777,5813,6018,6679,7151,7571,8008,8446,76.80552648105505
152,Kosovo,Pristina,1800000,10908.0,7728,9039,9660,10521,11338,12134,12902,13651,76.64337474120083
82,Lithuania,Vilnius,2944459,65200.0,56502,65479,69782,75992,82481,88273,94011,99806,76.64153481292698
60,Indonesia,Jakarta,242968342,1919440.0,1059903,1186067,1289295,1410748,1518447,1628938,1745177,1868036,76.24593948691532
38,Estonia,Tallinn,1291170,45226.0,30626,36287,37202,40102,43575,47100,50567,53945,76.14118722653954
39,Egypt,Cairo,80471869,1001450.0,364023,402838,435621,450361,488995,535846,584916,638145,75.30348357109304
80,Liberia,Monrovia,3685076,111370.0,3037,3483,3829,4064,4230,4542,4881,5273,73.62528811326968
122,Rwanda,Kigali,11055976,26338.0,10332,11131,12060,13170,14247,15399,16567,17924,73.48044909020518
76,Kuwait,Kuwait City,2789132,17820.0,105949,135352,186610,180665,176640,176552,179072,183101,72.81994167004879
33,Djibouti,Djibouti,740528,23000.0,3410,3589,3836,4199,4584,4981,5412,5880,72.43401759530792
50,Gambia,Bathurst,1593256,11300.0,1828,2025,2166,2341,2534,2737,2923,3129,71.1706783369803
46,Gabon,Libreville,1545255,267667.0,15339,19161,22456,22472,23045,23865,24870,26248,71.11936892887411
58,Haiti,Port-au-Prince,9648924,27750.0,14508,21017,20168,21195,22066,22947,23863,24798,70.92638544251447
141,Tuvalu,Funafuti,10472,26.0,55,63,66,71,77,82,88,94,70.9090909090909
54,Guinea-Bissau,Bissau,1565126,36120.0,1475,1629,1656,1802,1967,2144,2333,2518,70.71186440677965
30,Colombia,Bogotá,47790000,1138910.0,270415,314268,351281,370470,391832,413851,436908,461198,70.55192944178393
17,Brunei,Bandar Seri Begawan,395027,5770.0,12003,19915,35555,27708,23049,21322,20624,20464,70.49071065566942
127,Slovenia,Ljubljana,2007000,20273.0,53547,61567,63647,69888,75687,81086,86233,91128,70.1832035408146
25,Canada,Ottawa,33679000,9984670.0,1645423,1990762,2221218,2362318,2470160,2576068,2686020,2798867,70.10015053879762
111,Philippines,Manila,99900177,300000.0,361489,393612,411978,445827,483286,523530,567212,614630,70.02730373538337
21,Bhutan,Thimphu,699847,47000.0,2416,2397,2653,2881,3179,3474,3775,4089,69.24668874172185
19,Brazil,Brasília,201103330,8511965.0,1448550,1608080,1833274,1980483,2124987,2228793,2328671,2447681,68.97456076766422
84,Latvia,Riga,2217969,64589.0,33619,38965,40266,43128,46762,50105,53393,56685,68.6100121954847
61,Ireland,Dublin,4622917,70280.0,425549,498891,516146,562134,603127,640004,677733,715732,68.1902671607735
3,Armenia,Yerevan,2968000,29800.0,12641,13928,14047,15842,17258,18377,19726,21251,68.1117000237323
56,Honduras,Tegucigalpa,7989415,112090.0,23828,28221,30116,31661,33356,35356,37555,39845,67.21923787141179
57,Croatia,Zagreb,4491000,56542.0,57204,67838,69459,75827,80712,85769,90678,95626,67.16663170407664
92,Mauritania,Nouakchott,3205060,1030700.0,8110,9130,9280,9705,10930,11618,12085,13554,67.12700369913686
40,Eritrea,Asmara,5792984,121320.0,2083,2271,2568,2777,2945,3107,3289,3479,67.01872299567931
81,Lesotho,Maseru,1919552,30355.0,2061,2464,2561,2716,2902,3102,3274,3439,66.86074721009219
